name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG,birth
Bob Dillinger,753,2904,401,888,123,47,10,213,251,203,106,47,2.15,2.288,4.438000000000001,6,1946,1951,0.302,1926
Bob Edmondson,26,80,5,15,4,1,0,2,7,0,0,0,0.261,0.263,0.524,1,1908,1908,0.188,1886
Bob Elliott,1978,7141,1064,2061,382,94,170,1195,967,604,60,10,5.583,6.61,12.193,15,1939,1953,0.2874666666666667,1924
Bob Fagan,125,394,50,102,16,2,1,44,35,0,11,0,0.669,0.635,1.304,2,1921,1923,0.2545,1900
Bob Farley,84,123,19,20,3,1,2,9,30,28,0,1,0.5609999999999999,0.382,0.943,2,1961,1962,0.1375,1939
Bob Ferguson,562,2306,346,625,76,20,1,254.25,113,114,0,0,1.3139999999999998,2.762,2.628,9,1876,1884,0.2588888888888889,1858
Bob Finley,122,362,27,91,13,1,2,28,16,35,1,0,0.586,0.627,1.213,2,1943,1944,0.254,1921
Bob Fisher,504,1742,189,480,61,26,11,170,80,157,48,140,2.1590000000000003,2.559,4.718,7,1912,1919,0.2777142857142857,1893
Bob Fothergill,1105,3269,452,1064,225,52,36,582,202,177,42,52,4.355,5.339,9.694,12,1922,1933,0.3238333333333333,1905
Bob Gallagher,213,255,34,56,6,1,2,13,16,56,1,1,0.7430000000000001,0.7330000000000001,1.476,4,1972,1975,0.14225,1951
Bob Ganley,572,2129,246,540,44,24,2,123,177,0,112,0,1.578,1.514,3.092,5,1905,1909,0.2592,1885
Bob Garbark,145,327,31,81,9,0,0,28,26,17,0,1.75,1.598,1.43,3.028,7,1934,1945,0.1795714285714285,1917
Bob Geren,307,765,62,178,21,1,22,76,49,179,0,1,1.386,1.485,2.871,5,1988,1993,0.2068,1968
Bob Gilks,317,1302,151,294,31,9,1,129,46,61,42,0,1.06,1.102,2.162,4,1888,1893,0.2365,1868
Bob Glenalvin,82,311,54,88,13,4,4,38,26,34,37,0,0.749,0.806,1.555,2,1890,1893,0.306,1869
Bob Gorinski,54,118,14,23,4,1,3,22,5,29,1,0,0.226,0.322,0.548,1,1977,1977,0.195,1955
Bob Hale,376,626,41,171,29,2,2,89,26,51,0,4,2.039,2.281,4.32,7,1955,1961,0.2631428571428571,1936
Bob Hall,103,369,33,75,8,1,2,32,25,0,13,0,0.506,0.48,0.986,2,1904,1905,0.199,1882
Bob Hamelin,497,1272,179,313,70,3,67,209,206,293,11,8,2.027,2.646,4.673,6,1993,1998,0.2363333333333333,1973
Bob Hansen,82,149,12,36,5,1,2,13,9,24,2,1,0.558,0.612,1.17,2,1974,1976,0.2294999999999999,1953
Bob Harvey,225,779,114,244,37,11,9,119,80,2,5,0,2.247,2.5860000000000003,4.833,6,1943,1948,0.3155,1923
Bob Hazle,110,261,37,81,14,0,9,37,32,35,1,3,1.01,1.161,2.171,3,1955,1958,0.2816666666666667,1934
Bob Heise,499,1144,104,283,43,3,1,86,47,77,3,8,3.252,3.318,6.57,11,1967,1977,0.2527272727272727,1950
Bob Henley,41,115,16,35,8,1,3,18,11,26,3,0,0.377,0.47,0.847,1,1998,1998,0.304,1976
Bob Higgins,13,35,1,5,0,0,0,2,1,1,1,0,0.4509999999999999,0.3869999999999999,0.838,3,1909,1912,0.1289999999999999,1888
Bob Horner,1020,3777,560,1047,169,8,218,685,369,512,14,18,3.41,4.859,8.269,10,1978,1988,0.276,1961
Bob Johnson,2848,9503,1518,2731,492,107,341,1540,1253,1222,123,79.85185185185185,9.475,11.813,21.288,28,1933,1983,0.2660357142857142,1936
Bob Jones,1169,3593,466,924,137,38,27,402,258,273,54,40.8,4.91,5.374,10.284,18,1917,1986,0.2111666666666666,1929
Bob Kearney,479,1356,131,316,66,3,27,133,67,235,9,12,2.533,1.946,4.479,8,1979,1987,0.16275,1961
Bob Kennedy,1485,4624,514,1176,196,41,63,514,364,443,45,50,4.823,5.493,10.316,16,1939,1957,0.245875,1926
Bob Lennon,38,79,5,13,2,0,1,4,5,26,0,0,0.415,0.533,0.948,3,1954,1957,0.1083333333333333,1933
Bob Lillis,816,2328,198,549,68,9,3,137,99,116,23,25,2.821,2.97,5.791,10,1958,1967,0.2512,1940
Bob Loane,16,31,6,5,3,0,0,2,6,9,2,0,0.6,0.364,0.964,2,1939,1940,0.1135,1917
Bob Maier,132,486,58,128,25,7,1,34,38,32,7,11,0.317,0.35,0.667,1,1945,1945,0.263,1923
Bob Marquis,40,44,9,12,1,1,2,3,4,11,0,0,0.333,0.477,0.81,1,1953,1953,0.273,1931
Bob Martyn,154,358,35,94,12,11,3,35,37,56,2,7,0.658,0.76,1.418,3,1957,1959,0.176,1936
Bob McHale,11,33,5,6,2,0,0,7,1,0,1,0,0.27,0.242,0.512,1,1898,1898,0.182,1876
Bob Melvin,692,1955,174,456,85,6,35,212,98,396,4,13,2.688,3.333,6.021,10,1985,1994,0.2359,1967
Bob Meusel,1407,5475,826,1693,368,95,156,1067,375,619,142,112.2,3.9,5.41,9.31,11,1920,1930,0.3083636363636363,1903
Bob Miller,294,997,124,259,43,16,4,124,93,1,12,0,1.642,1.787,3.429,5,1924,1932,0.2672,1906
Bob Molinaro,401,803,106,212,25,11,14,90,65,57,46,15,2.243,2.618,4.861,8,1975,1983,0.2155,1957
Bob Montgomery,387,1185,125,306,50,8,23,156,64,268,6,2,3.051,3.844,6.8950000000000005,10,1970,1979,0.2638999999999999,1952
Bob Nieman,1113,3452,455,1018,180,32,125,544,435,512,10,30,4.467,5.855,10.322,12,1951,1962,0.3046666666666667,1934
Bob O'Farrell,1493,4101,517,1120,201,58,51,549,547,408,35,24.5,6.842,7.209,14.051,21,1915,1935,0.2458095238095238,1903
Bob Oldis,135,236,20,56,6,0,1,22,20,22,0,1,1.6509999999999998,1.447,3.098,7,1953,1963,0.1814285714285714,1936
Bob Oliver,847,2914,293,745,102,19,94,419,156,562,17,14,1.921,2.535,4.456,8,1965,1975,0.208375,1948
Bob Pate,31,45,3,12,2,0,0,5,4,6,0,1,0.724,0.641,1.365,2,1980,1981,0.2945,1958
Bob Perry,131,387,35,103,17,1,6,30,23,83,2,2,0.618,0.723,1.3410000000000002,2,1963,1964,0.2645,1941
Bob Peterson,43,131,11,25,1,1,1,9,11,0,1,0,0.354,0.331,0.685,2,1906,1907,0.14,1884
Bob Pettit,96,387,62,93,8,7,7,40,22,31,25,0,0.856,1.012,1.868,3,1887,1891,0.2299999999999999,1867
Bob Porter,41,41,3,7,1,0,0,4,3,10,0,0,0.518,0.4679999999999999,0.986,2,1981,1982,0.1984999999999999,1959
Bob Prichard,26,85,8,20,5,0,0,8,19,16,0,2,0.375,0.294,0.669,1,1939,1939,0.235,1917
Bob Ramazzotti,346,851,86,196,22,9,4,53,45,107,15,2.333333333333333,1.592,1.6929999999999998,3.285,7,1946,1953,0.1902857142857143,1927
Bob Randall,460,1325,154,341,50,9,1,91,83,102,11,14,1.484,1.491,2.975,5,1976,1980,0.2444,1956
Bob Raudman,16,55,1,11,2,0,0,3,2,8,0,0,0.452,0.4639999999999999,0.916,2,1966,1967,0.1975,1944
Bob Repass,84,265,30,64,12,1,2,24,33,32,6,2,0.661,0.813,1.474,2,1939,1942,0.286,1918
Bob Rice,19,54,3,8,0,1,0,10,3,4,0,0,0.193,0.185,0.378,1,1926,1926,0.148,1904
Bob Robertson,829,2385,283,578,93,10,115,368,317,546,7,9,3.37,4.3,7.67,11,1967,1979,0.2201818181818182,1951
Bob Roselli,68,114,8,25,7,1,2,10,12,31,1,0,1.443,2.9880000000000004,4.431,5,1955,1962,0.2346,1936
Bob Sadowski,184,329,38,73,9,3,7,46,33,63,3,1,1.319,0.881,2.2,4,1960,1963,0.15275,1939
Bob Saverine,379,861,114,206,27,6,6,47,73,149,23,9,1.408,1.415,2.823,6,1959,1967,0.1843333333333333,1941
Bob Scheffing,517,1357,105,357,53,9,20,187,103,127,6,0,2.471,2.772,5.243,8,1941,1951,0.25475,1924
Bob Schmidt,454,1305,133,317,55,4,39,150,100,199,0,6,2.047,2.368,4.415,7,1958,1965,0.2254285714285714,1939
Bob Schroder,138,221,29,48,5,1,0,12,23,21,1,0,1.132,0.95,2.082,4,1965,1968,0.21325,1944
Bob Scott,141,550,79,140,14,0,3,44,46,0,17,0,1.835,1.7000000000000002,3.535,6,1920,1927,0.252,1901
Bob Seeds,615,1937,268,537,77,21,28,233,160,190,14,22.5,3.0460000000000003,3.587,6.633,9,1930,1940,0.2751111111111111,1913
Bob Sheldon,94,262,30,67,8,5,0,17,23,25,0,4,0.892,0.928,1.82,3,1974,1977,0.2026666666666666,1953
Bob Skinner,1381,4318,642,1198,197,58,103,531,485,646,67,36,4.021,4.833,8.854,12,1954,1966,0.2648333333333333,1938
Bob Smith,412,1259,117,300,44,11,3,140,73,69,21,45.5,4.248461538461538,3.897,8.05,14,1923,1944,0.2385714285714285,1911
Bob Speake,305,761,110,170,26,10,31,104,80,158,8,11,1.099,1.304,2.403,4,1955,1959,0.188,1935
Bob Spence,72,183,13,37,5,1,4,19,16,47,0,0,0.706,0.702,1.408,3,1969,1971,0.175,1948
Bob Stephenson,67,111,19,27,3,0,0,6,5,18,2,1,0.274,0.27,0.544,1,1955,1955,0.243,1933
Bob Stinson,652,1634,166,408,61,7,33,180,201,254,8,10,3.512,3.586,7.098,12,1969,1980,0.2252499999999999,1952
Bob Swift,1001,2750,212,635,86,3,14,238,324,233,10,6,4.621,4.176,8.797,14,1940,1953,0.2313571428571428,1924
Bob Talbot,122,433,50,107,15,5,1,19,16,29,4,6,0.607,0.7050000000000001,1.3119999999999998,2,1953,1954,0.287,1931
Bob Taylor,64,85,12,16,0,0,2,10,12,13,0,0,0.32,0.262,0.582,2,1945,1970,0.095,1935
Bob Thorpe,110,331,22,83,9,3,3,32,6,48,3,2,0.959,2.021,2.98,3,1951,1953,0.3073333333333333,1930
Bob Thurman,420,964,160,258,34,16,41,154,80,112,11,4.666666666666666,2.234,3.035,5.269,7,1947,1959,0.2674285714285714,1931
Bob Tillman,775,2329,189,540,68,10,79,282,228,510,1,0,2.645,3.296,5.941,9,1962,1970,0.2277777777777777,1944
Bob Uecker,297,731,65,146,22,0,14,74,96,167,0,3,1.839,1.812,3.651,6,1962,1967,0.214,1942
Bob Unglaub,596,2150,188,554,67,35,5,216,88,0,66,0,1.635,1.822,3.4570000000000003,6,1904,1910,0.2416666666666666,1885
Bob Usher,428,1101,133,259,41,4,18,102,90,136,9,10,2.415,1.603,4.018,6,1946,1957,0.1849999999999999,1929
Bob Watson,1831,6185,802,1826,307,41,184,989,653,796,27,28,6.24,7.714,13.954,19,1966,1984,0.2632631578947368,1953
Bob Will,410,819,87,202,35,9,9,87,83,119,2,6,1.951,1.747,3.698,6,1957,1963,0.2329999999999999,1938
Bob Williams,60,142,16,27,3,1,0,15,21,3,1,0,1.147,0.895,2.042,4,1911,1932,0.1915,1899
Bob Wilson,94,304,30,91,10,1,3,40,25,1,8,0,0.917,0.926,1.843,3,1947,1958,0.2683333333333333,1930
Bob Wood,383,1245,149,350,73,15,2,168,89,0,15,0,2.15,2.3200000000000003,4.47,7,1898,1905,0.253,1879
Bob Zupcic,319,795,99,199,47,4,7,80,57,137,7,5,1.049,1.285,2.334,4,1991,1994,0.21825,1970
Bobby Abreu,2425,8480,1453,2470,574,59,288,1363,1476,1840,400,128,6.891,8.088000000000001,14.979,18,1996,2014,0.2828333333333333,1983
Bobby Adams,1281,4019,591,1082,188,49,37,303,414,447,67,46.66666666666667,4.419,4.782,9.201,14,1946,1959,0.2464285714285714,1930
Bobby Anderson,23,70,6,16,2,2,0,5,10,0,2,0,0.325,0.314,0.639,1,1920,1920,0.229,1898
Bobby Avila,1300,4620,725,1296,185,35,80,467,561,399,78,52,3.847,4.037,7.884,11,1949,1959,0.2716363636363636,1932
Bobby Bonds,1849,7043,1258,1886,302,66,332,1024,914,1757,461,169,4.881,6.363,11.244,14,1968,1981,0.2614285714285714,1952
Bobby Bonilla,2113,7213,1084,2010,408,61,287,1173,912,1204,45,57,5.61,7.209,12.819,16,1986,2001,0.2679375,1971
Bobby Bonner,61,108,15,21,5,1,0,8,4,16,1,0,0.508,0.604,1.112,4,1980,1983,0.1162499999999999,1959
Bobby Bradley,97,307,41,61,15,0,17,45,29,128,0,0,0.657,0.919,1.576,3,2019,2022,0.168,1998
Bobby Bragan,597,1900,136,456,62,12,15,172,110,117,12,0,1.986,1.987,3.973,7,1940,1948,0.2261428571428571,1922
Bobby Brooks,55,143,19,33,6,0,5,20,29,42,0,4,1.226,1.462,2.688,4,1969,1973,0.224,1949
Bobby Brown,1050,2896,416,765,100,26,48,367,308,326,119,44,4.871,5.07,9.941,15,1946,1985,0.2555333333333333,1943
Bobby Byrne,1284,4831,667,1225,186,60,10,329,456,220,176,132,3.57,3.504,7.074,11,1907,1917,0.2571818181818182,1890
Bobby Clack,32,118,10,19,0,1,0,5,5,12,0,0,0,0.178,0,1,1876,1876,0.161,1854
Bobby Clark,396,967,97,231,34,7,19,100,55,199,4,8,2,2.49,4.49,7,1979,1985,0.2434285714285714,1960
Bobby Cox,220,628,50,141,22,2,9,58,75,126,3,3,0.632,0.609,1.241,2,1968,1969,0.222,1946
Bobby Crosby,747,2559,329,605,146,8,62,276,241,516,34,13,2.269,2.565,4.834,8,2003,2010,0.20625,1984
Bobby Dalbec,331,946,115,210,37,7,47,142,79,384,9,0,1.421,1.962,3.383,5,2020,2024,0.211,2000
Bobby Darwin,639,2223,249,559,76,16,83,328,160,576,15,9,2.029,2.752,4.781,7,1971,1977,0.2377142857142857,1952
Bobby Del Greco,731,1982,271,454,95,11,42,169,271,372,16,15,2.693,2.609,5.3020000000000005,9,1952,1965,0.2007777777777777,1936
Bobby Doerr,1865,7093,1094,2042,381,89,223,1247,809,608,54,64,5.039,6.348,11.387,14,1937,1951,0.2853571428571428,1922
Bobby Estalella,990,3100,405,815,155,38,92,455,480,536,19,19,6.451,8.034,14.485,18,1935,2004,0.2504444444444444,1947
Bobby Etheridge,96,246,26,60,16,2,2,25,26,38,0,0,0.655,0.699,1.354,2,1967,1969,0.243,1946
Bobby Fenwick,41,56,7,10,3,0,0,5,3,15,0,1,0.393,0.407,0.8,2,1972,1973,0.1735,1950
Bobby Floyd,214,425,40,93,18,1,0,26,28,99,2,2,1.785,1.778,3.563,7,1968,1974,0.1998571428571428,1949
Bobby Grich,2008,6890,1033,1833,320,47,224,864,1087,1278,104,83,6.245,7.087,13.332,17,1970,1986,0.2653529411764705,1956
Bobby Higginson,1362,4910,736,1336,270,33,187,709,649,796,91,53,3.691,4.586,8.277,11,1995,2005,0.253,1978
Bobby Hill,249,523,67,137,20,4,6,58,48,100,6,4,1.467,1.332,2.799,4,2002,2005,0.2685,1981
Bobby Hofman,341,670,81,166,22,6,32,101,70,94,1,3.5,1.909,2.344,4.253,7,1949,1957,0.2041428571428571,1931
Bobby Hughes,133,319,38,76,9,2,12,37,21,82,1,2,0.576,0.77,1.346,2,1998,1999,0.243,1976
Bobby Kielty,599,1792,257,456,105,6,53,253,246,372,21,6,2.347,2.762,5.109,7,2001,2007,0.25,1982
Bobby Klaus,215,590,65,123,25,4,6,29,74,92,5,10,0.593,0.587,1.1800000000000002,2,1964,1965,0.208,1942
Bobby Kline,77,140,12,31,5,0,0,9,11,27,0,0,0.288,0.257,0.545,1,1955,1955,0.221,1933
Bobby Knoop,1153,3622,337,856,129,29,56,331,305,833,16,17,2.653,2.923,5.576,9,1964,1972,0.2339999999999999,1946
Bobby Lowe,1821,7065,1131,1929,230,85,71,984,473,215,302,0,5.745,6.281,12.026,18,1890,1907,0.2661666666666666,1876
Bobby Malkmus,268,572,69,123,15,5,8,46,38,90,3,5,1.173,1.4300000000000002,2.603,6,1957,1962,0.1531666666666666,1937
Bobby Mattick,206,690,54,161,31,1,0,64,33,60,7,0,2.043,2.15,4.193,5,1938,1942,0.3776,1918
Bobby Meacham,457,1371,202,324,58,8,8,114,140,276,58,24,1.884,1.854,3.738,6,1983,1988,0.2363333333333333,1963
Bobby Messenger,56,157,29,27,1,3,0,4,20,0,10,0,0.893,0.739,1.632,4,1909,1914,0.12975,1889
Bobby Mitchell,476,1230,161,293,44,14,24,148.88888888888889,140,246,25.55555555555556,27.77777777777778,3.192222222222222,2.963,6.484444444444445,10,1882,1983,0.2061,1910
Bobby Morgan,671,2088,286,487,96,11,53,217,327,381,18,12.571428571428571,2.386,2.59,4.976,8,1950,1958,0.202375,1932
Bobby Murcer,1908,6730,972,1862,285,45,252,1043,862,841,127,75,5.714,7.254,12.968,17,1965,1983,0.261235294,1952
Bobby Murray,10,37,2,7,1,0,0,2,1,4,1,0,0.211,0.216,0.427,1,1923,1923,0.189,1901
Bobby Pfeil,106,281,25,68,12,0,2,19,13,36,1,2,0.589,0.675,1.264,2,1969,1971,0.2515,1948
Bobby Ramos,103,232,20,44,7,1,4,17,22,38,0,0,1.1840000000000002,1.464,2.648,6,1978,1984,0.1441666666666666,1959
Bobby Reeves,502,1598,203,402,55,22,8,135,175,218,21,21,1.949,1.845,3.794,6,1926,1931,0.2356666666666666,1906
Bobby Reis,52,107,13,27,5,0,0,8,15,13,2,0,0.961,0.846,1.807,3,1931,1937,0.2626666666666666,1912
Bobby Rhawn,91,198,38,47,9,2,2,18,35,17,4,3,1.113,1.124,2.237,3,1947,1949,0.259,1926
Bobby Richardson,1412,5386,643,1432,196,37,34,390,262,243,73,48,3.332,3.609,6.941,12,1955,1966,0.2455,1938
Bobby Robinson,523,1861,278,459,56,21,9,190,177,4,40,0,3.746,3.418,7.164,12,1925,1940,0.2285,1910
Bobby Rose,73,200,24,49,11,3,5,23,15,33,1,1,1.334,1.812,3.146,4,1989,1992,0.27175,1968
Bobby Scales,61,137,19,34,8,2,3,17,18,37,1,0,0.8620000000000001,0.719,1.581,2,2009,2010,0.275,1987
Bobby Schang,82,186,14,35,7,4,0,6,18,47,3,6,0.702,0.774,1.476,3,1914,1927,0.2023333333333333,1898
Bobby Smith,258,826,88,192,29,4,21,107,70,268,11,9,1.319,1.42,2.739,5,1998,2002,0.1942,1978
Bobby Stevens,12,35,3,12,0,0,0,4,2,2,0,0,0.41,0.343,0.753,1,1931,1931,0.343,1909
Bobby Sturgeon,420,1220,107,313,48,12,1,80,34,79,7,0,1.57,1.817,3.387,6,1940,1948,0.2416666666666666,1922
Bobby Thompson,64,120,23,27,3,3,2,12,9,26,7,2,0.284,0.35,0.634,1,1978,1978,0.225,1956
Bobby Thomson,1779,6305,903,1705,267,74,264,1026,559,804,38,30,4.939,6.765,11.704,15,1946,1960,0.2676,1931
Bobby Tolan,1282,4238,572,1121,173,34,86,497,258,587,193,100,3.657,4.491,8.148,13,1965,1979,0.2395384615384615,1950
Bobby Trevino,17,40,1,9,1,0,0,1,2,9,0,1,0.262,0.25,0.512,1,1968,1968,0.225,1946
Bobby Valentine,639,1698,176,441,59,9,12,157,140,134,27,20,2.965,3.027,5.992,10,1969,1979,0.2400999999999999,1952
Bobby Vaughn,149,535,70,148,19,9,0,32,59,38,25,0,0.556,0.494,1.05,2,1909,1915,0.2115,1890
Bobby Veach,1823,6656,952,2063,393,147,64,1166,571,367,195,130.66666666666666,5.192,6.12,11.312,14,1912,1925,0.3120714285714285,1896
Bobby Wallace,2347,8507,1041,2286,388,140,34,1110,768,61,201,23,7.31,7.557,14.867,23,1896,1918,0.2501304347826087,1885
Bobby Wheelock,236,854,138,201,25,4,3,70,118,70,106,0,0.977,0.895,1.872,3,1887,1891,0.2396666666666666,1867
Bobby Wilkins,86,179,29,46,6,0,0,7,11,21,2,4,0.601,0.5389999999999999,1.14,2,1944,1945,0.25,1922
Bobby Williams,493,1713,248,386,52,18,3,204,133,14,64,20,2.637,2.486,5.123,10,1920,1934,0.2022,1905
Bobby Wilson,386,932,83,189,40,0,18,102,70,227,0,3,2.45,2.814,5.264,10,2008,2019,0.1941,1991
Bobby Wine,1164,3172,249,682,104,16,30,268,214,538,7,7,3.003,3.298,6.301,12,1960,1972,0.2075833333333333,1944
Bobby Winston,47,145,20,36,9,1,0,12,25,0,3,0,0.724,0.632,1.356,2,1920,1921,0.2485,1898
Bobby Witt,469,1868,304,538,104,28,82,285,127,362,110,34,1.002,1.511,2.513,3,2022,2024,0.2873333333333334,2001
Bobby Young,687,2447,244,609,68,28,15,137,208,212,18,21.714285714285715,1.767,1.891,3.658,8,1948,1958,0.182625,1931
Bobby Gene Smith,476,962,101,234,35,5,13,96,55,154,5,9,1.944,2.289,4.233,7,1957,1965,0.2412857142857142,1939
Bobo Leonard,161,512,72,135,23,4,6,56,52,2,7,0,1.768,2.012,3.78,5,1922,1927,0.2866,1902
Bobo Osborne,359,763,93,157,30,2,17,86,104,171,2,0,1.523,1.419,2.942,6,1957,1963,0.166,1938
Bombo Rivera,335,831,109,220,39,11,10,83,71,144,11,8,1.63,1.732,3.362,6,1975,1982,0.21,1956
Bones Ely,1331,5127,650,1326,149,68,24,650,255,108,176.58333333333334,0,3.758083333333333,3.793,7.867166666666667,13,1884,1902,0.2314615384615384,1871
Bonnie Serrell,155,566,98,175,36,15,9,79,42,2,13,2.5,1.513,1.979,3.492,5,1941,1945,0.2573999999999999,1921
Boob Fowler,78,175,30,57,7,2,1,18,6,19,3,2,1.236,1.605,2.841,4,1923,1926,0.29775,1902
Boog Powell,2101,6822,916,1813,276,12,342,1199,1017,1262,21,23,6.427,7.876,14.303,19,1961,2018,0.2493157894736842,1967
Boots Day,471,1151,146,295,28,6,8,98,95,141,15,15,1.657,1.479,3.136,6,1969,1974,0.2071666666666667,1949
Boots McClain,125,446,56,99,12,7,4,50,35,6,10,0,1.388,1.403,2.791,6,1920,1926,0.177,1901
Boss Schmidt,479,1480,137,360,41,22,3,124,36,0,23,0,1.623,1.899,3.522,6,1906,1911,0.2463333333333333,1886
Boyd Perry,36,83,9,15,5,0,0,11,10,9,1,0,0.269,0.241,0.51,1,1941,1941,0.181,1919
Boze Berger,343,1144,146,270,51,8,13,97,94,226,12,7,1.428,1.623,3.051,6,1932,1939,0.1976666666666666,1913
Bozo Jackson,16,61,8,18,1,1,0,1,2,0,0,0,1.207,1.294,2.501,4,1933,1945,0.291,1917
Brad Ausmus,1971,6279,718,1579,270,34,80,607,634,1034,102,53,5.804,6.15,11.954,18,1993,2010,0.2511666666666666,1979
Brad Davis,33,109,8,23,7,1,3,16,9,37,2,0,0.27,0.376,0.646,1,2010,2010,0.211,1988
Brad Eldred,90,276,31,56,12,1,15,34,17,109,1,1,0.975,1.511,2.486,4,2005,2012,0.192,1986
Brad Emaus,14,37,2,6,0,0,0,1,4,9,0,0,0.262,0.162,0.424,1,2011,2011,0.162,1989
Brad Fullmer,807,2789,395,778,203,16,114,442,216,373,32,21,2.717,3.96,6.6770000000000005,8,1997,2004,0.280875,1978
Brad Gulden,182,435,45,87,14,2,5,43,45,61,2,3,1.376,2.252,3.628,7,1978,1986,0.143,1960
Brad Hawpe,910,2934,400,806,176,23,124,492,430,810,13,16,3.159,3.822,6.981,9,2004,2013,0.2581111111111111,1986
Brad Kocher,69,139,9,25,5,2,0,12,4,11,0,0,0.8200000000000001,1.06,1.88,3,1912,1916,0.2563333333333333,1892
Brad Komminsk,376,986,140,215,37,5,23,105,114,258,39,20,2.277,2.325,4.602,8,1983,1991,0.214,1965
Brad Miller,1055,3132,397,740,133,30,123,405,350,873,43,18,3.482,4.545,8.027000000000001,11,2013,2023,0.2346363636363636,1996
Brad Mills,106,168,11,43,5,0,1,12,14,21,0,1,1.248,1.166,2.414,4,1980,1983,0.253,1959
Brad Snyder,30,66,5,11,2,0,2,8,5,28,0,0,0.5900000000000001,0.7330000000000001,1.323,3,2010,2014,0.1543333333333333,1990
Brad Wellman,441,927,97,214,30,2,6,77,59,176,26,15,2.137,2.116,4.253,8,1982,1989,0.228875,1963
Brad Wilkerson,972,3187,500,788,193,28,122,399,492,947,53,43,2.712,3.376,6.088,8,2001,2008,0.23975,1982
Braden Bishop,47,90,6,12,2,0,0,8,5,33,1,0,0.645,0.59,1.235,3,2019,2021,0.1746666666666666,1998
Braden Shewmake,31,68,4,8,2,0,1,4,1,11,5,1,0.134,0.203,0.337,2,2023,2024,0.0625,2001
Bradford Bennett,68,204,21,49,7,1,6,29,16,4,2,0,0.868,1.181,2.049,3,1940,1942,0.238,1919
Bradley Zimmer,372,859,121,183,34,3,21,91,76,331,42,8,1.551,1.531,3.082,6,2017,2022,0.1633333333333333,1997
Brady Anderson,1834,6499,1062,1661,338,67,210,761,960,1190,315,100,5.2860000000000005,5.941,11.227,15,1988,2002,0.2442666666666667,1973
Brady Clark,785,2015,264,559,97,7,36,210,208,252,48,33,3.1,3.191,6.291,9,2000,2008,0.2625555555555555,1982
Braggo Roth,811,2831,427,804,138,73,30,422,335,389,189,65.6,2.924,3.348,6.272,8,1914,1921,0.2846249999999999,1895
Branch Rickey,120,343,38,82,8,6,3,39,27,1,8,0,0.598,0.627,1.225,4,1905,1914,0.1164999999999999,1887
Branch Russell,766,2880,632,889,134,73,57,491,368,3,71,0,4.342,5.08,9.422,11,1922,1932,0.3095454545454545,1905
Brandon Allen,116,344,44,70,19,2,12,41,42,137,3,0,1.136,1.412,2.548,4,2009,2012,0.19225,1988
Brandon Barnes,484,1172,133,284,56,9,20,102,67,358,22,20,1.729,2.118,3.847,6,2012,2018,0.2391666666666666,1993
Brandon Belt,1413,4729,681,1232,290,36,194,627,678,1346,47,21,4.616,6.029,10.645,13,2011,2023,0.2588461538461538,1995
Brandon Berger,81,217,28,46,8,2,8,24,15,45,2,1,1.168,1.739,2.907,4,2001,2004,0.23325,1980
Brandon Boggs,130,326,34,68,18,4,10,43,49,113,4,2,0.8420000000000001,0.991,1.833,4,2008,2011,0.11075,1987
Brandon Crawford,1684,5646,674,1404,295,44,147,748,544,1294,47,34,4.367,5.363,9.73,14,2011,2024,0.24,1995
Brandon Dixon,235,615,66,138,32,4,22,74,29,219,6,1,1.109,1.56,2.669,5,2018,2023,0.184,1998
Brandon Drury,867,2915,337,713,170,9,109,375,188,718,5,8,2.777,3.787,6.564,10,2015,2024,0.227,1997
Brandon Fahey,189,411,54,92,18,5,2,36,28,82,5,4,0.755,0.878,1.633,3,2006,2008,0.2093333333333333,1985
Brandon Guyer,518,1291,184,323,72,5,32,137,91,269,22,8,2.048,2.838,4.886,7,2011,2018,0.2252857142857142,1992
Brandon Harper,18,41,6,12,3,0,2,6,4,4,0,0,0.362,0.512,0.874,1,2006,2006,0.293,1984
Brandon Hicks,126,294,43,45,11,1,11,30,40,119,1,1,0.781,0.758,1.539,4,2010,2014,0.0955,1990
Brandon Inge,1532,5014,563,1166,228,38,152,648,443,1306,45,40,3.723,4.697,8.42,13,2001,2013,0.223076923,1985
Brandon Jones,51,148,18,38,11,1,1,22,11,39,1,0,0.973,0.916,1.889,3,2007,2009,0.2443333333333333,1986
Brandon Laird,53,127,12,25,4,0,6,16,8,38,0,0,0.813,0.984,1.7970000000000002,3,2011,2013,0.2053333333333333,1990
Brandon Larson,109,291,29,52,11,0,8,37,35,86,4,2,1.049,1.216,2.265,4,2001,2004,0.17725,1980
Brandon Lowe,611,2150,336,527,107,12,126,363,244,668,30,3,2.309,3.34,5.649,7,2018,2024,0.245,1999
Brandon Marsh,472,1482,189,380,72,16,41,191,157,547,45,10,1.312,1.617,2.9290000000000003,4,2021,2024,0.25625,2000
Brandon Moss,1016,3133,419,742,159,17,160,473,328,968,11,11,3.084,4.307,7.391,11,2007,2017,0.214090909,1990
Brandon Nimmo,911,3136,512,820,161,32,110,371,474,833,41,17,3.358,3.856,7.214,9,2016,2024,0.2624444444444445,1998
Brandon Phillips,1902,7378,1005,2029,368,35,211,951,420,1092,209,84,4.979,6.376,11.355,17,2002,2018,0.2430588235294117,1988
