name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,active_year,first_year,last_year,AVG
Tye Waller,63,110,18,26,3,1,3,14.0,7,31.0,2.0,0.0,0.928,1.105,2.033,4,1980,1987,0.189
Tyler Austin,209,521,75,114,20,1,33,91.0,54,215.0,4.0,2.0,1.166,1.772,2.9379999999999997,4,2016,2019,0.221
Tyler Black,18,49,4,10,2,0,0,2.0,7,17.0,3.0,0.0,0.316,0.245,0.561,1,2024,2024,0.204
Tyler Collins,183,502,53,118,17,7,14,58.0,45,140.0,3.0,6.0,1.179,1.5070000000000001,2.686,4,2014,2017,0.236
Tyler Colvin,441,1215,164,290,63,21,49,178.0,78,352.0,14.0,4.0,1.557,2.174,3.731,6,2009,2014,0.20883333333333334
Tyler Fitzgerald,106,346,56,95,21,2,17,39.0,24,118.0,19.0,4.0,0.599,0.966,1.565,2,2023,2024,0.2495
Tyler Flowers,802,2456,267,582,111,5,86,301.0,227,852.0,2.0,6.0,3.848,4.254,8.102,12,2009,2020,0.21666666666666667
Tyler Freeman,206,560,77,125,24,1,11,53.0,42,94.0,17.0,6.0,0.9139999999999999,0.973,1.887,3,2022,2024,0.23266666666666666
Tyler Goeddel,92,213,17,41,3,3,4,16.0,17,52.0,3.0,0.0,0.258,0.291,0.549,1,2016,2016,0.192
Tyler Greene,288,675,86,151,30,4,17,61.0,52,201.0,28.0,4.0,1.457,1.691,3.148,5,2009,2013,0.22139999999999999
Tyler Heineman,112,260,27,55,11,1,1,15.0,23,41.0,3.0,0.0,1.537,1.517,3.0540000000000003,5,2019,2024,0.2
Tyler Holt,156,281,29,64,7,3,0,15.0,29,84.0,7.0,5.0,0.81,0.689,1.499,3,2014,2016,0.19999999999999998
Tyler Houston,700,1805,197,479,84,6,63,253.0,119,408.0,10.0,6.0,2.518,3.368,5.886,8,1996,2003,0.26937500000000003
Tyler Ladendorf,55,66,9,8,0,1,0,3.0,2,15.0,2.0,0.0,0.38,0.436,0.8160000000000001,3,2015,2021,0.106
Tyler Locklear,16,45,3,7,1,0,2,3.0,3,20.0,1.0,0.0,0.224,0.311,0.535,1,2024,2024,0.156
Tyler Moore,381,788,75,180,46,0,30,121.0,50,234.0,3.0,0.0,1.404,2.01,3.414,5,2012,2017,0.2298
Tyler Naquin,562,1668,226,439,97,12,61,237.0,117,475.0,20.0,13.0,2.105,2.89,4.995,8,2016,2023,0.22262500000000002
Tyler Nevin,192,511,53,104,19,1,12,49.0,61,140.0,1.0,1.0,1.337,1.5510000000000002,2.888,4,2021,2024,0.22175
Tyler O'Neill,590,1875,313,462,85,3,109,278.0,189,650.0,44.0,9.0,2.183,3.137,5.32,7,2018,2024,0.2392857142857143
Tyler Pastornicky,124,239,30,58,7,2,2,15.0,17,48.0,2.0,1.0,0.9139999999999999,0.908,1.822,3,2012,2014,0.24766666666666667
Tyler Saladino,326,978,109,221,33,6,19,92.0,62,247.0,28.0,13.0,1.332,1.585,2.917,5,2015,2019,0.21079999999999996
Tyler Soderstrom,106,314,27,64,11,0,12,33.0,31,96.0,0.0,0.0,0.547,0.669,1.216,2,2023,2024,0.1965
Tyler Stephenson,470,1455,212,389,76,3,50,208.0,150,383.0,2.0,1.0,1.7930000000000001,2.382,4.175,5,2020,2024,0.27999999999999997
