name,birth,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,OPS,FY,LY,AY
김헌수,1977,9,20,18,2,2,0,0,0,2,0,2,0,2,0,10,0,0.111,0.2,0,0.311,1996,1996,1
김혁민,1987,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2008,2013,6
김혁섭,1974,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2001,1
김현민,1973,210,372,343,35,79,19,1,7,121,41,3,2,14,5,81,5,1.894,1.509,3,3.403,1996,2002,7
김현수,1988,2081,8832,7627,1190,2388,447,29,249,3640,1432,71,48,1014,73,900,154,7.61,6.271,36,13.881,2006,2024,19
김현욱,1970,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2004,4
김현종,2004,17,16,15,8,3,1,0,0,4,2,0,0,0,1,4,0,0.267,0.25,0,0.517,2024,2024,1
김현준,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2020,1
김현준,2002,319,1110,983,144,261,39,11,3,331,79,13,8,86,15,213,11,1.236,1.221,9,2.457,2021,2024,4
김현택,1962,9,19,15,2,1,0,0,0,1,1,0,0,3,1,5,1,0.067,0.263,0,0.33,1986,1986,1
김형남,1973,72,112,103,11,18,3,0,1,24,11,0,0,3,0,23,0,0.242,0.2,4,0.442,1996,1997,2
김형석,1962,1417,5413,4866,548,1345,221,44,119,2011,656,45,45,454,20,687,127,5.369,4.456,56,9.825,1985,1998,14
김형성,1976,66,102,89,5,15,3,0,0,18,3,0,0,7,1,23,0,0.207,0.24,8,0.447,1997,1998,2
김형준,1999,304,786,686,80,145,21,0,28,250,85,0,0,78,4,245,14,1.831,1.51,21,3.341,2018,2024,7
김형철,1980,167,163,154,18,24,3,0,0,27,8,4,2,7,0,39,2,1.434,1.393,6,2.827,2003,2010,8
김형태,1969,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,1,1992,1992,1
김혜겸,1985,9,6,5,0,2,0,0,0,2,1,0,0,0,1,1,1,0.4,0.5,0,0.9,2005,2007,3
김혜성,1999,953,3819,3433,591,1043,150,39,37,1382,386,211,37,325,17,623,45,3.115,2.764,120,5.879,2017,2024,8
김호,1967,1170,3812,3288,405,746,109,26,53,1066,338,131,65,381,11,701,65,3.548,3.347,175,6.895,1991,2002,12
김호근,1960,693,1724,1570,140,375,72,10,26,545,180,9,10,124,7,264,51,3.333,2.884,34,6.217,1983,1993,11
김호령,1992,670,1477,1299,235,306,51,9,20,435,122,46,21,113,27,394,19,2.569,2.408,13,4.977,2015,2024,10
김호은,1992,78,123,114,12,25,5,0,2,36,11,0,0,7,2,19,2,0.35,0.304,1,0.654,2020,2022,3
김호인,1954,64,237,215,23,60,16,0,6,94,24,4,2,17,1,21,4,0.437,0.335,2,0.772,1982,1982,1
김호재,1995,286,424,375,37,92,16,0,1,111,27,4,1,33,5,68,7,1.515,1.573,12,3.088,2018,2023,6
김호준,1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2024,1
김호진,2005,26,32,29,4,2,0,0,0,2,3,0,0,1,1,11,1,0.069,0.125,0,0.194,2024,2024,1
김홍기,1968,84,191,177,11,38,8,0,3,55,21,2,0,13,1,55,7,0.641,0.678,0,1.319,1991,1993,3
김홍집,1969,23,35,31,4,4,0,0,1,7,6,0,0,3,0,7,0,0.318,0.494,0,0.812,1992,1994,3
김홍집,1971,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2003,2
김회권,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2008,2
김회성,1985,423,945,796,110,169,37,3,35,317,117,5,5,97,28,238,23,3.153,2.914,19,6.067,2009,2020,12
김효남,1983,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2013,8
김효용,1972,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,1992,1
김훈,1970,241,558,503,61,110,21,4,4,151,26,12,11,32,4,88,12,1.357,1.374,6,2.731,1993,1998,6
김휘욱,1957,36,69,66,5,10,1,1,1,16,9,0,0,1,0,8,1,0.242,0.164,1,0.406,1982,1982,1
김휘집,2002,396,1479,1260,173,301,59,2,33,463,168,5,3,152,31,354,30,1.306,1.28,57,2.586,2021,2024,4
김희석,1990,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2014,1
나경민,1991,264,315,275,83,67,9,4,1,87,22,37,10,28,6,88,1,1.214,1.295,1,2.509,2016,2019,4
나광남,1967,104,99,79,20,11,3,1,0,16,7,8,5,11,2,12,1,0.505,0.796,3,1.301,1989,1991,3
나광호,1977,10,16,16,1,2,0,0,1,5,1,0,0,0,0,5,0,0.786,0.571,1,1.357,1997,1998,2
나균안,1998,216,416,366,27,45,7,0,5,67,24,0,0,21,11,175,7,0.37,0.389,9,0.759,2017,2021,5
나바로,1987,265,1245,1034,244,307,46,2,79,594,235,47,15,189,7,143,17,1.148,0.81,23,1.958,2014,2015,2
나성범,1989,1385,6089,5418,1008,1700,341,30,272,2917,1064,100,29,493,124,1333,72,6.605,4.63,41,11.235,2013,2024,12
나성용,1988,79,145,134,12,33,5,0,5,53,17,0,1,9,2,56,4,1.248,1.052,1,2.3,2011,2017,7
나승엽,2002,181,617,520,75,150,37,4,9,222,76,2,0,83,4,116,5,0.743,0.7,16,1.443,2021,2024,4
나승현,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2007,2
나웅,1967,292,449,382,81,93,13,6,3,127,36,37,23,41,9,67,7,1.192,1.819,21,3.011,1989,1995,7
나원탁,1994,33,48,48,2,8,1,0,0,9,1,0,0,0,0,23,0,0.386,0.342,2,0.728,2017,2021,5
나이트,1975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2012,1
나주환,1984,1506,4414,3886,524,1018,183,12,89,1492,496,83,58,288,57,792,95,6.125,5.092,140,11.217,2003,2021,19
나지완,1985,1473,5479,4561,668,1265,201,8,221,2145,862,35,20,666,181,1115,108,6.264,5.289,9,11.553,2008,2022,15
나진균,1968,11,14,12,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0.077,0,0.077,1991,1991,1
남기헌,1977,79,136,114,16,25,6,1,0,33,10,1,0,11,8,23,2,0.3,0.533,1,0.833,2000,2001,2
남상규,1972,6,8,7,1,1,0,0,1,4,1,0,0,1,0,2,0,0.571,0.25,1,0.821,1995,1995,1
남태혁,1991,113,245,223,16,50,6,0,4,68,29,1,0,18,2,73,9,1.807,1.676,8,3.483,2016,2021,6
남호,2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2021,2
노건우,1989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,2021,9
노경은,1984,8,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2007,2023,17
노관현,1993,9,6,6,0,3,0,0,0,3,1,0,0,0,0,2,0,0.5,0.5,0,1,2017,2017,1
노병오,1983,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2007,6
노상진,1974,2,4,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0.5,0.25,0,0.75,1997,1997,1
노수광,1990,770,2676,2348,378,631,100,23,28,861,220,123,40,237,29,536,15,3.006,2.909,19,5.915,2014,2023,10
노승욱,1974,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2006,6
노시환,2000,686,2723,2377,349,630,118,8,92,1040,389,21,8,299,28,637,62,2.49,2.024,78,4.514,2019,2024,6
노시훈,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2021,1
노운현,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2022,1
노장진,1974,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2001,2005,5
노진혁,1989,987,3140,2780,361,731,166,12,77,1152,395,15,15,288,21,698,46,4.188,3.268,83,7.456,2013,2024,12
노찬엽,1965,884,3223,2788,368,778,121,38,43,1104,380,59,58,328,25,258,76,3.501,3.139,7,6.64,1989,1997,9
노태형,1995,73,162,145,20,27,5,1,0,34,7,0,1,13,3,46,0,0.415,0.51,7,0.925,2020,2021,2
노환수,1984,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2008,4
뉴선,1964,35,133,115,15,24,5,0,7,50,17,3,1,17,0,38,3,0.435,0.308,0,0.743,2002,2002,1
니일,1965,17,68,57,7,11,4,0,1,18,3,0,0,10,1,15,2,0.316,0.324,0,0.64,2001,2001,1
니퍼트,1981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2015,2
다카쓰,1968,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,2008,1
당신상,1970,7,7,7,1,1,0,0,0,1,1,0,0,0,0,5,0,0.333,0.333,0,0.666,1993,1994,2
대니돈,1984,149,554,467,70,130,35,1,17,218,72,1,0,77,5,88,11,0.734,0.645,4,1.379,2016,2017,2
대톨라,1967,101,298,265,33,74,12,1,9,115,42,0,0,26,4,49,6,0.434,0.349,3,0.783,1999,1999,1
댄블랙,1987,54,225,198,25,66,10,1,12,114,32,0,0,25,2,52,4,0.576,0.413,4,0.989,2015,2015,1
데이비스,1969,836,3552,3130,538,979,175,6,167,1667,591,108,57,353,25,606,80,3.715,2.673,32,6.388,1999,2006,8
데이비슨,1991,131,567,504,90,154,25,1,46,319,119,0,1,39,17,142,12,0.633,0.37,11,1.003,2024,2024,1
데폴라,1982,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,2011,2
도명진,1972,13,23,21,2,6,1,0,1,10,4,0,0,2,0,5,1,0.476,0.348,0,0.824,1995,1995,1
도슨,1995,152,690,611,106,203,45,4,14,298,86,11,4,57,15,95,13,0.962,0.797,6,1.759,2023,2024,2
도이석,1961,72,42,36,15,5,3,0,0,8,6,2,1,6,0,7,1,0.448,0.556,0,1.004,1986,1987,2
도태훈,1993,460,835,688,98,149,19,0,10,198,70,4,1,92,31,131,23,2.054,2.498,20,4.552,2016,2024,9
동봉철,1970,750,2659,2205,387,583,92,22,34,821,210,116,63,315,72,326,31,2.894,2.956,16,5.85,1992,1999,8
디아즈,1971,182,709,626,81,164,38,0,29,289,89,7,5,54,15,74,20,0.879,0.647,16,1.526,2003,2004,2
디아즈,1980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,2008,1
디아즈,1981,62,229,207,37,55,15,0,15,115,39,2,1,17,2,76,11,0.556,0.323,3,0.879,2009,2009,1
디아즈,1996,29,118,110,14,31,5,0,7,57,19,0,0,6,2,25,2,0.518,0.331,1,0.849,2024,2024,1
라가레스,1989,49,202,181,24,57,9,0,6,84,32,3,1,14,1,18,4,0.464,0.362,2,0.826,2022,2022,1
라라,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,1
라모스,1992,98,428,383,53,113,20,4,13,180,59,5,3,31,5,78,7,0.899,0.664,6,1.563,2022,2024,3
라모스,1994,168,699,616,88,165,24,3,46,333,111,2,0,73,6,179,9,1.014,0.679,10,1.693,2020,2021,2
라이블리,1992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2020,1
라이언,1974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2003,1
라이온,1971,227,972,896,117,253,68,3,23,396,128,10,4,62,7,136,16,0.887,0.667,10,1.554,2004,2005,2
라형진,1977,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2003,3
랜들,1977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,1
러셀,1994,124,510,464,42,125,25,1,6,170,73,3,0,39,3,76,11,0.736,0.656,15,1.392,2020,2023,4
러프,1986,404,1756,1493,267,467,105,6,86,842,350,13,8,205,37,301,49,1.689,1.211,18,2.9,2017,2019,3
레스,1973,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2004,3
레이번,1974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2007,1
레이어,1977,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,2008,1
레이예스,1994,144,632,574,88,202,40,3,15,293,111,5,0,46,1,82,16,0.51,0.394,4,0.904,2024,2024,1
레일리,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,1
렉스,1993,111,485,421,52,122,14,3,12,178,64,3,1,54,6,98,7,0.84,0.748,4,1.588,2022,2023,2
로니,1984,23,93,79,7,22,5,0,3,36,12,0,0,11,1,14,1,0.456,0.366,1,0.822,2017,2017,1
로마노,1972,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2007,1
로마이어,1965,315,1345,1165,192,337,68,4,85,668,252,9,6,152,12,265,33,1.664,1.1,24,2.764,1999,2001,3
로맥,1985,626,2628,2231,386,610,109,1,155,1186,409,22,11,345,32,555,38,2.63,1.857,36,4.487,2017,2021,5
로메로,1986,76,305,265,30,67,16,0,12,119,50,2,0,29,4,48,9,0.449,0.328,8,0.777,2015,2015,1
로사리오,1989,246,1042,937,178,309,61,3,70,586,231,11,8,83,14,151,28,1.254,0.781,16,2.035,2016,2017,2
로저스,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,1
로티노,1980,79,247,216,30,66,18,0,2,90,22,2,0,29,1,22,7,0.417,0.389,3,0.806,2014,2014,1
로페즈,1974,22,76,68,6,11,0,0,3,20,8,0,0,6,1,20,2,0.294,0.237,3,0.531,2004,2004,1
로페즈,1975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,2011,1
로하스,1990,655,2888,2543,458,821,165,9,164,1496,521,29,27,296,26,590,41,2.928,1.958,18,4.886,2017,2024,8
로하스,1993,122,464,403,52,102,24,4,19,191,65,0,1,55,3,68,5,0.474,0.345,2,0.819,2023,2023,1
루이즈,1994,27,94,84,10,13,4,1,1,22,6,1,0,9,0,13,5,0.262,0.234,3,0.496,2022,2022,1
루츠,1986,8,30,27,2,3,0,0,1,6,3,0,0,2,0,6,1,0.222,0.167,1,0.389,2015,2015,1
류승민,2004,29,60,53,6,11,3,0,0,14,5,0,0,4,1,20,0,0.269,0.922,1,1.191,2023,2024,2
류승현,1997,95,251,228,23,61,11,2,1,79,27,3,2,16,5,42,5,0.733,0.682,5,1.415,2018,2022,5
류원석,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2021,2
류은재,1983,34,55,52,9,12,1,1,4,27,9,2,1,3,0,16,0,1.981,0.897,1,2.878,2006,2011,6
류중일,1963,1095,3809,3293,475,874,151,23,45,1206,359,109,40,363,38,507,62,4.656,4.364,127,9.02,1987,1999,13
류지혁,1994,953,2791,2402,396,646,81,10,17,798,266,81,25,262,54,447,46,4.399,4.443,70,8.842,2012,2024,13
류지현,1971,1108,4865,4050,719,1134,193,17,64,1553,379,296,85,590,60,537,57,3.967,4.003,139,7.97,1994,2004,11
류진욱,1996,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2024,4
류택현,1971,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2012,11
류현인,2000,17,24,23,6,3,0,0,0,3,3,0,0,1,0,4,0,0.13,0.167,1,0.297,2023,2023,1
류현준,2005,2,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,1,0.667,0,1.667,2024,2024,1
류현진,1987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2010,5
류형우,1995,10,12,11,2,2,0,0,0,2,1,0,0,1,0,3,1,0.182,0.25,0,0.432,2019,2019,1
류효승,1996,12,15,13,2,1,0,0,1,4,2,0,0,1,1,4,1,0.5,0.472,0,0.972,2020,2024,5
류희운,1995,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2022,6
리베라,1969,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2001,1
리스,1975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2001,1
리오스,1972,41,142,134,12,31,7,0,2,44,17,0,1,4,1,18,3,0.328,0.254,1,0.582,2003,2007,5
마낙길,1989,27,33,30,6,9,1,0,0,10,0,2,3,2,0,5,0,0.345,0.833,0,1.178,2013,2015,3
마뇽,1973,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2004,1
마르테,1983,206,868,750,137,234,48,1,42,410,163,0,0,101,3,111,31,1.086,0.774,22,1.86,2015,2016,2
마르티네스,1970,368,1570,1374,222,380,75,5,57,636,235,77,37,152,19,216,20,1.385,1.056,18,2.441,2001,2003,3
마이로우,1976,70,269,208,42,48,9,1,12,95,30,0,2,52,6,74,2,0.457,0.396,2,0.853,2006,2006,1
마일영,1981,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2012,10
마정길,1979,14,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,2002,2016,15
마차도,1992,278,1099,952,162,266,52,2,17,373,125,23,6,112,12,125,29,0.783,0.715,21,1.498,2020,2021,2
마테오,1978,34,149,130,18,29,3,0,5,47,20,2,1,12,4,36,1,0.362,0.302,0,0.664,2005,2005,1
마티니,1990,139,576,510,67,151,34,1,16,235,85,12,4,51,8,86,8,0.461,0.365,12,0.826,2022,2022,1
마틴,1967,107,420,358,45,104,16,4,9,155,52,7,0,51,6,57,7,0.433,0.383,4,0.816,2004,2004,1
마틴,1995,118,503,435,55,123,20,2,17,198,90,15,3,57,1,107,8,0.455,0.36,3,0.815,2023,2023,1
마해영,1970,1501,6264,5482,850,1609,298,20,260,2727,1003,45,32,587,119,931,157,6.334,4.893,54,11.227,1995,2008,14
만자니오,1963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,2002,1
맥스웰,1983,23,99,80,14,23,3,1,4,40,16,2,2,15,3,25,0,0.5,0.414,1,0.914,2016,2016,1
맥키넌,1994,72,315,272,28,80,13,0,4,105,36,1,0,39,1,33,6,0.386,0.381,5,0.767,2024,2024,1
맹진국,1984,14,15,14,0,2,0,0,0,2,1,1,0,1,0,5,0,0.286,0.411,1,0.697,2003,2004,2
메히아,1972,30,120,112,9,29,3,0,3,41,13,1,4,2,1,23,3,0.366,0.274,2,0.64,2003,2003,1
명재철,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,2011,1
모건,1980,10,42,33,2,9,2,0,0,11,5,1,1,4,4,8,1,0.333,0.405,0,0.738,2015,2015,1
모넬,1986,28,105,85,10,14,4,0,2,24,9,2,1,17,1,28,2,0.282,0.305,4,0.587,2017,2017,1
모상기,1987,65,132,116,9,19,3,0,4,34,11,1,1,14,1,49,2,0.811,1.033,0,1.844,2008,2015,8
모창민,1985,1042,3052,2740,401,773,141,13,92,1216,439,74,38,229,11,532,74,5.076,4.048,61,9.124,2008,2021,14
모터,1989,10,37,35,4,4,0,0,1,7,3,0,0,1,0,10,0,0.2,0.135,2,0.335,2020,2020,1
문경찬,1992,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,2022,8
문광은,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2019,4
문규현,1983,1025,2757,2425,276,608,112,7,26,812,269,25,15,168,21,402,55,3.978,3.499,100,7.477,2002,2019,18
문기영,1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1991,1
문동환,1972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,1
문보경,2000,508,1939,1672,246,489,97,12,49,757,268,26,15,216,5,315,35,1.769,1.468,44,3.237,2021,2024,4
문상인,1998,16,6,5,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2020,2023,4
문상준,2001,4,8,8,1,2,1,0,0,3,0,0,0,0,0,6,0,0.867,0.533,1,1.4,2022,2023,2
문상철,1991,524,1306,1170,150,281,54,2,43,468,169,15,3,98,18,344,23,2.979,2.272,20,5.251,2015,2024,10
문선엽,1991,7,6,6,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2014,2017,4
문선재,1990,358,821,718,115,175,33,5,21,281,93,27,15,68,8,210,6,2.581,2.182,14,4.763,2010,2020,11
문성주,1997,374,1377,1163,191,346,53,9,9,444,156,47,28,174,16,124,28,1.785,1.84,5,3.625,2018,2024,7
문성현,1991,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2024,10
문승원,1989,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,2024,12
문승훈,1966,109,183,156,19,34,3,1,4,51,19,1,0,23,2,33,3,0.885,0.853,3,1.738,1989,1992,4
문용민,1980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2004,1
문용익,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2021,1
문우람,1992,279,868,764,113,213,57,4,12,314,96,8,6,74,10,140,12,1.526,1.321,7,2.847,2012,2015,4
문원,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2021,1
문재성,1974,10,5,4,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0.2,0,0.2,1998,1998,1
문주모,1962,11,15,14,1,1,0,0,0,1,0,0,0,1,0,4,1,0.071,0.133,0,0.204,1982,1982,1
문찬종,1991,18,18,15,0,2,0,0,0,2,1,0,0,3,0,4,1,0.143,0.294,0,0.437,2020,2021,2
문현빈,2004,240,770,688,76,186,38,4,10,262,96,8,6,57,8,137,16,0.774,0.664,12,1.438,2023,2024,2
문희성,1973,412,1020,908,110,224,36,2,30,354,144,14,9,72,31,175,25,3.298,2.789,7,6.087,1997,2006,10
뮬렌,1967,14,54,46,5,9,0,0,1,12,3,2,0,6,1,18,1,0.261,0.296,4,0.557,2000,2000,1
미첼,1969,77,279,238,33,54,8,0,8,86,38,3,2,38,2,51,7,0.361,0.337,1,0.698,2000,2000,1
민경삼,1963,562,1230,1072,144,233,26,10,6,297,94,53,30,84,29,124,22,1.737,1.968,49,3.705,1986,1992,7
민경수,1981,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2004,2007,4
민병헌,1987,1438,4857,4285,751,1266,214,24,99,1825,578,187,70,388,85,720,113,5.464,4.876,14,10.34,2006,2021,16
민태호,1989,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,2019,12
바에르가,1968,39,131,120,18,33,3,2,4,52,17,0,0,6,4,12,5,0.433,0.328,7,0.761,2001,2001,1
바워스,1971,43,134,124,17,36,6,3,3,57,12,0,6,6,2,27,3,0.46,0.328,2,0.788,1999,1999,1
바티스타,1980,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,2012,1
박가람,1986,6,21,17,2,5,0,0,0,5,1,1,0,0,1,4,0,0.294,0.333,1,0.627,2006,2006,1
박건우,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,2010,1
박건우,1990,1256,4880,4319,764,1414,290,24,123,2121,677,96,29,409,84,650,123,5.809,4.697,22,10.506,2009,2024,16
박경수,1984,2043,6688,5608,727,1396,270,13,161,2175,719,78,44,783,122,1360,144,7.944,7.176,165,15.12,2003,2024,22
박경완,1972,2044,7329,5949,913,1480,271,15,314,2723,995,75,59,974,166,1605,131,9.01,7.521,106,16.531,1991,2013,23
박경진,1976,202,282,252,23,52,4,2,1,63,21,1,0,18,7,48,5,1.344,1.452,6,2.796,2000,2005,6
박경태,1987,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2010,2
박경호,1973,103,203,178,18,45,4,0,3,58,18,18,2,15,3,48,2,1.731,1.204,10,2.935,1996,1999,4
박계범,1996,443,1146,983,136,233,42,2,16,327,116,20,11,105,19,246,25,1.911,1.925,47,3.836,2015,2024,10
박계원,1970,717,2051,1812,224,439,69,11,19,587,212,55,33,150,29,290,43,2.48,2.423,82,4.903,1992,2002,11
박계현,1992,159,446,393,50,105,11,0,0,116,34,17,11,28,4,69,3,0.65,0.665,16,1.315,2014,2015,2
박관진,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2021,1
박광율,1970,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,1992,1
박규대,1972,60,45,40,10,5,0,0,0,5,0,6,3,2,1,9,0,0.616,1.189,2,1.805,1991,1999,9
박근영,1973,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997,1997,1
박근홍,1985,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2017,4
박기남,1981,764,1603,1328,200,338,63,0,23,470,147,15,12,183,18,254,27,3.321,3.466,42,6.787,2004,2015,12
박기복,1971,10,8,7,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0.143,0,0.143,1993,1995,3
박기수,1959,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1985,1
박기택,1968,94,207,178,11,27,2,0,6,47,15,2,2,24,3,45,7,0.676,0.753,1,1.429,1991,1995,5
박기혁,1981,1444,4196,3657,394,891,134,12,22,1115,337,79,46,344,24,712,104,4.948,5.104,160,10.052,2000,2018,19
박노민,1985,193,384,354,29,77,14,0,8,115,40,4,0,22,3,120,8,2.165,1.935,8,4.1,2004,2016,13
박노준,1962,1018,3281,2921,368,765,110,27,28,1013,266,152,73,223,44,302,38,4.224,3.806,20,8.03,1986,1997,12
박대온,1995,259,394,364,28,77,16,1,2,101,23,0,1,13,3,102,9,2.127,1.962,11,4.089,2015,2023,9
박도현,1983,14,17,15,2,5,0,0,0,5,1,1,1,1,0,7,1,0.357,0.4,0,0.757,2007,2009,3
박동수,1961,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,1992,1
박동원,1990,1286,4255,3719,500,955,179,6,154,1608,619,11,3,384,56,872,109,5.068,3.905,69,8.973,2010,2024,15
박동희,1968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,2001,1
박두일,1983,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2003,1
박만채,1978,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2003,1
박명근,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,2024,2
박명운,1959,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1985,1
박명환,1977,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,2014,14
박민,2001,46,72,67,10,14,5,0,0,19,5,0,2,4,1,18,1,0.614,1.037,9,1.651,2020,2024,5
박민규,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2009,1
