name,pic_url,birth,season,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
송지후,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54394.jpg,2005,2025,키움,0.182,3,11,11,0,2,0,0,0,2,0,0,1,0,0,1,0,0.182,0.182,1
송찬의,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68110.jpg,1999,2025,LG,0.224,36,95,85,5,19,7,0,2,32,9,1,1,5,3,28,2,0.376,0.287,0
신민재,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65207.jpg,1996,2025,LG,0.191,39,115,94,14,18,1,0,0,19,12,5,3,19,1,13,1,0.202,0.333,1
신범수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66662.jpg,1998,2025,SSG,0.182,13,14,11,0,2,0,0,0,2,2,0,0,2,1,1,0,0.182,0.357,0
심우준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64006.jpg,1995,2025,한화,0.17,33,101,94,10,16,3,1,1,24,9,3,0,3,1,21,0,0.255,0.204,3
심재훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55438.jpg,2006,2025,삼성,0.208,12,29,24,4,5,0,0,0,5,1,3,1,4,0,8,0,0.208,0.321,0
안상현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66864.jpg,1997,2025,SSG,0.286,22,30,28,4,8,2,0,0,10,3,3,1,2,0,14,1,0.357,0.333,1
안주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66406.jpg,1993,2025,삼성,0.214,6,15,14,1,3,0,0,0,3,0,0,1,1,0,4,1,0.214,0.267,1
안중열,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64022.jpg,1995,2025,NC,0.25,1,5,4,1,1,1,0,0,2,3,0,0,1,0,0,0,0.5,0.4,0
안치영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67006.jpg,1998,2025,KT,0,13,8,4,1,0,0,0,0,0,1,0,1,2,1,2,1,0,0.429,0
안치홍,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79608.jpg,1990,2025,한화,0.098,16,56,51,0,5,0,0,0,5,5,1,0,5,0,13,1,0.098,0.179,1
안현민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52001.jpg,2003,2025,KT,0.383,13,52,47,8,18,3,1,5,38,15,0,0,3,2,8,0,0.809,0.442,0
양도근,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54408.jpg,2003,2025,삼성,0.324,34,43,34,7,11,2,0,0,13,2,3,0,5,1,7,3,0.382,0.415,1
양석환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64153.jpg,1991,2025,두산,0.276,40,171,152,19,42,10,0,4,64,20,0,0,12,4,43,6,0.421,0.339,2
양의지,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76232.jpg,1987,2025,두산,0.301,39,158,133,19,40,8,0,4,60,23,0,0,21,2,21,3,0.451,0.399,1
양현종,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55370.jpg,2006,2025,키움,0,3,5,4,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0.2,0
어준서,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55392.jpg,2006,2025,키움,0.25,27,72,68,9,17,1,0,1,21,6,0,0,3,0,19,1,0.309,0.278,8
에레디아,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53827.jpg,1991,2025,SSG,0.313,13,57,48,6,15,0,0,1,18,6,0,0,7,1,8,2,0.375,0.404,1
여동건,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54205.jpg,2005,2025,두산,0,6,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
여동욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55393.jpg,2005,2025,키움,0.19,11,24,21,2,4,0,0,1,7,1,0,0,3,0,9,2,0.333,0.292,2
오명진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50208.jpg,2001,2025,두산,0.25,29,93,84,11,21,4,1,1,30,14,1,0,8,1,17,1,0.357,0.323,1
오선우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69636.jpg,1996,2025,KIA,0.279,21,67,61,11,17,2,0,2,25,9,0,0,6,0,21,1,0.41,0.343,0
오선진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78756.jpg,1989,2025,키움,0.265,31,58,49,5,13,3,0,1,19,10,0,0,5,2,10,2,0.388,0.357,1
오스틴,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53123.jpg,1993,2025,LG,0.315,36,150,127,31,40,7,0,12,83,32,1,0,21,0,17,4,0.654,0.407,1
오영수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68904.jpg,2000,2025,NC,0.2,9,26,25,1,5,1,0,1,9,4,0,1,1,0,12,0,0.36,0.231,0
오윤석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64504.jpg,1992,2025,KT,0.196,23,55,46,9,9,3,0,0,12,5,0,0,3,2,13,1,0.261,0.275,0
오지환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79109.jpg,1990,2025,LG,0.244,40,138,119,17,29,7,0,4,48,18,4,3,11,1,35,0,0.403,0.306,1
오태곤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/60558.jpg,1991,2025,SSG,0.165,36,101,85,8,14,4,0,1,21,10,9,2,12,1,26,1,0.247,0.276,1
우강훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51526.jpg,2002,2025,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
원성준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54307.jpg,2000,2025,키움,0.158,7,20,19,2,3,0,0,1,6,3,0,0,1,0,6,0,0.316,0.2,0
위즈덤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55645.jpg,1991,2025,KIA,0.24,35,147,121,25,29,9,0,9,65,26,2,0,23,1,37,1,0.537,0.361,0
유강남,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61102.jpg,1992,2025,롯데,0.341,36,108,88,16,30,7,0,3,46,16,0,0,12,5,21,5,0.523,0.439,1
유준규,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51013.jpg,2002,2025,KT,0.043,14,28,23,4,1,0,0,0,1,3,1,0,5,0,9,0,0.043,0.214,0
윤도현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52667.jpg,2003,2025,KIA,0.333,3,8,6,3,2,2,0,0,4,0,0,0,2,0,2,0,0.667,0.5,1
윤동희,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52591.jpg,2003,2025,롯데,0.282,34,135,117,24,33,5,0,3,47,11,2,1,17,1,24,7,0.402,0.378,0
윤정빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68463.jpg,1999,2025,삼성,0.189,23,43,37,3,7,1,0,0,8,3,0,0,4,0,16,1,0.216,0.256,0
윤준혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50092.jpg,2001,2025,KT,0.071,15,15,14,1,1,1,0,0,2,0,1,0,0,0,4,0,0.143,0.071,0
이도윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65703.jpg,1996,2025,한화,0.206,29,72,63,7,13,3,2,0,20,13,0,0,4,1,12,2,0.317,0.261,2
이로운,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53892.jpg,2004,2025,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
이병헌,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69428.jpg,1999,2025,삼성,0.1,18,22,20,1,2,0,0,0,2,0,0,0,1,1,4,0,0.1,0.182,1
이상혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52704.jpg,2001,2025,한화,0.4,19,6,5,5,2,1,0,0,3,1,1,4,0,0,1,0,0.6,0.4,0
이성규,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66409.jpg,1993,2025,삼성,0.167,8,26,24,1,4,0,0,1,7,1,1,0,1,0,12,0,0.292,0.2,0
이승원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53302.jpg,2004,2025,키움,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
이승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55712.jpg,2002,2025,한화,1,3,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,3,1,0
이영빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51100.jpg,2002,2025,LG,0.222,11,9,9,1,2,0,0,0,2,1,0,0,0,0,3,0,0.222,0.222,0
이용규,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74163.jpg,1985,2025,키움,0.207,9,33,29,5,6,1,0,0,7,0,1,0,3,0,6,1,0.241,0.281,1
이우성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63260.jpg,1994,2025,KIA,0.243,35,127,107,9,26,7,1,2,41,10,0,0,17,2,24,2,0.383,0.354,2
이원석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68700.jpg,1999,2025,한화,0.156,36,37,32,16,5,1,0,1,9,5,6,0,4,1,10,2,0.281,0.27,1
이유찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67207.jpg,1998,2025,두산,0.3,12,33,30,6,9,1,1,0,12,4,3,0,3,0,6,2,0.4,0.364,0
이율예,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55832.jpg,2006,2025,SSG,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
이인한,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50608.jpg,1998,2025,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
이재상,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54305.jpg,2005,2025,키움,0.5,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0.5,1
이재원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76812.jpg,1988,2025,한화,0.192,38,58,52,0,10,0,1,0,12,5,1,1,3,0,12,2,0.231,0.228,1
이재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52415.jpg,2003,2025,삼성,0.232,42,180,142,28,33,6,0,4,51,19,2,0,31,4,43,2,0.359,0.382,4
이재희,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51460.jpg,2001,2025,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
이주헌,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52154.jpg,2003,2025,LG,0.13,17,30,23,3,3,0,0,1,6,1,0,0,5,2,8,0,0.261,0.333,0
이주형,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50167.jpg,2001,2025,키움,0.243,30,120,103,13,25,3,0,4,40,8,1,1,10,7,37,2,0.388,0.35,0
이지강,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69108.jpg,1999,2025,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
이지영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79456.jpg,1986,2025,SSG,0.231,21,73,65,6,15,3,1,1,23,4,1,1,4,1,6,2,0.354,0.282,1
이진영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66657.jpg,1997,2025,한화,0.31,32,105,87,19,27,8,0,4,47,13,1,1,14,2,25,1,0.54,0.41,0
이창용,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51407.jpg,1999,2025,삼성,0.273,7,13,11,2,3,1,0,1,7,2,1,0,2,0,5,0,0.636,0.385,1
이형종,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78135.jpg,1989,2025,키움,0.192,15,31,26,1,5,1,0,1,9,2,1,0,4,1,8,1,0.346,0.323,0
이호성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53455.jpg,2004,2025,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
이호준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54598.jpg,2004,2025,롯데,0.25,34,67,56,10,14,3,4,0,25,6,0,0,6,3,14,1,0.446,0.348,5
임병욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64346.jpg,1995,2025,키움,0.323,15,34,31,4,10,0,0,0,10,6,0,0,3,0,8,0,0.323,0.382,0
임종성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54236.jpg,2005,2025,두산,0.214,7,14,14,0,3,1,0,0,4,1,1,0,0,0,3,0,0.286,0.214,0
임종찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50704.jpg,2001,2025,한화,0.167,17,35,30,2,5,1,0,1,9,2,2,0,5,0,13,0,0.3,0.286,1
임지열,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64340.jpg,1995,2025,키움,0.258,12,33,31,4,8,1,0,0,9,2,2,0,2,0,14,0,0.29,0.303,0
장두성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68507.jpg,1999,2025,롯데,0.291,37,63,55,13,16,1,0,0,17,8,4,3,3,0,7,0,0.309,0.328,1
장성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78548.jpg,1990,2025,KT,0.21,39,149,124,12,26,4,0,4,42,18,0,0,20,0,32,2,0.339,0.311,2
장승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63202.jpg,1994,2025,두산,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
장재영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51359.jpg,2002,2025,키움,0.143,10,16,14,1,2,0,0,0,2,2,1,0,2,0,7,0,0.143,0.25,1
장준원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64115.jpg,1995,2025,KT,0.222,17,50,45,4,10,2,0,0,12,5,0,0,3,0,7,1,0.267,0.271,0
장진혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66706.jpg,1993,2025,KT,0.333,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0.333,0.333,0
장현식,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63950.jpg,1995,2025,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
전다민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54214.jpg,2001,2025,두산,0,12,7,7,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
전민재,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68205.jpg,1999,2025,롯데,0.387,30,106,93,14,36,7,0,1,46,10,1,0,5,2,17,1,0.495,0.43,3
전병우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65586.jpg,1992,2025,삼성,0.217,16,29,23,3,5,0,0,1,8,3,0,0,6,0,10,1,0.348,0.379,0
전준우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78513.jpg,1986,2025,롯데,0.288,42,173,146,18,42,9,1,3,62,25,1,0,20,2,23,2,0.425,0.372,0
전태현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55397.jpg,2006,2025,키움,0.237,28,86,76,9,18,3,0,0,21,3,1,0,8,0,26,0,0.276,0.31,1
정보근,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68518.jpg,1999,2025,롯데,0.227,40,73,66,2,15,2,1,1,22,9,0,0,5,1,15,3,0.333,0.292,2
정수빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79231.jpg,1990,2025,두산,0.276,41,182,152,27,42,5,0,2,53,14,10,4,22,4,14,1,0.349,0.378,0
정우주,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55743.jpg,2006,2025,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
정준재,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54812.jpg,2003,2025,SSG,0.167,39,135,114,15,19,2,1,0,23,5,7,0,17,0,29,1,0.202,0.275,4
정철원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68242.jpg,1999,2025,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
정해영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50662.jpg,2001,2025,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
정해원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53659.jpg,2004,2025,KIA,0.083,6,15,12,3,1,0,0,0,1,0,0,0,3,0,2,2,0.083,0.267,0
정현수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54537.jpg,2001,2025,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
정현승,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54815.jpg,2001,2025,SSG,0.5,3,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0.5,0
정훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/60523.jpg,1987,2025,롯데,0.224,33,91,85,7,19,6,0,1,28,7,0,0,6,0,20,4,0.329,0.275,0
조대현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68089.jpg,1999,2025,KT,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
조동욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54768.jpg,2004,2025,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
조병현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51897.jpg,2002,2025,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
조세진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52516.jpg,2003,2025,롯데,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
조수행,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66209.jpg,1993,2025,두산,0.171,29,48,41,8,7,0,0,0,7,3,11,1,4,0,12,0,0.171,0.244,0
조형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51865.jpg,2002,2025,SSG,0.262,25,71,65,6,17,0,0,2,23,9,0,0,4,1,12,1,0.354,0.314,0
주승우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52330.jpg,2000,2025,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
채은성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79192.jpg,1990,2025,한화,0.287,41,165,150,15,43,12,1,2,63,16,0,1,11,3,39,1,0.42,0.348,2
채현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69804.jpg,1995,2025,SSG,0.25,5,4,4,1,1,0,1,0,3,0,0,0,0,0,1,0,0.75,0.25,0
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2025,KT,0.22,22,60,50,7,11,5,1,0,18,7,0,1,8,2,9,1,0.36,0.35,2
천재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67905.jpg,1994,2025,NC,0.282,36,78,71,14,20,1,2,3,34,10,7,1,4,1,19,0,0.479,0.325,1
최동환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79140.jpg,1989,2025,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
최민준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68856.jpg,1999,2025,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
최상민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68805.jpg,1999,2025,SSG,0.143,23,9,7,5,1,0,0,0,1,1,1,1,1,1,5,0,0.143,0.333,0
최성민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51007.jpg,2002,2025,KT,0.067,22,17,15,2,1,0,0,0,1,0,1,0,1,0,5,0,0.067,0.125,1
최승민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65905.jpg,1996,2025,LG,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
최원영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52103.jpg,2003,2025,LG,0.231,35,14,13,12,3,2,0,0,5,1,6,2,0,0,4,1,0.385,0.214,0
최원준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66606.jpg,1997,2025,KIA,0.21,32,114,105,11,22,2,0,2,30,9,5,0,8,1,22,0,0.286,0.272,1
최인호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50707.jpg,2000,2025,한화,0.239,24,53,46,3,11,2,0,1,16,5,1,0,5,1,9,2,0.348,0.327,0
최재훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78288.jpg,1989,2025,한화,0.295,32,87,61,6,18,2,0,0,20,10,1,1,14,6,8,1,0.328,0.447,1
최정,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75847.jpg,1987,2025,SSG,0.265,10,41,34,7,9,0,0,5,24,10,0,0,6,1,7,5,0.706,0.39,0
최정용,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65464.jpg,1996,2025,KIA,0.167,4,6,6,0,1,0,0,0,1,0,0,0,0,0,2,1,0.167,0.167,0
최정원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69992.jpg,2000,2025,NC,0.4,8,12,10,3,4,0,0,0,4,1,2,0,1,0,2,0,0.4,0.455,0
최주환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76267.jpg,1988,2025,키움,0.283,42,175,159,17,45,13,1,2,66,23,0,0,13,2,22,1,0.415,0.343,2
최준우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68868.jpg,1999,2025,SSG,0.25,29,80,60,9,15,0,0,2,21,15,2,0,14,2,20,1,0.35,0.397,0
최지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50854.jpg,1997,2025,SSG,0.321,40,176,156,22,50,7,1,2,65,16,9,4,14,1,26,0,0.417,0.371,3
최항,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62884.jpg,1994,2025,롯데,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
최형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72443.jpg,1983,2025,KIA,0.297,37,149,128,18,38,12,1,6,70,23,0,0,18,2,25,4,0.547,0.389,0
추재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68362.jpg,1999,2025,두산,0.243,11,40,37,5,9,2,1,1,16,3,0,0,1,1,6,2,0.432,0.282,0
카디네스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54444.jpg,1997,2025,키움,0.242,37,157,132,18,32,5,1,4,51,23,1,1,19,4,36,2,0.386,0.35,3
케이브,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55208.jpg,1992,2025,두산,0.321,33,145,131,19,42,7,1,3,60,21,6,0,10,1,29,0,0.458,0.366,1
푸이그,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52366.jpg,1990,2025,키움,0.206,35,150,136,16,28,2,0,5,45,18,0,0,10,4,34,1,0.331,0.28,2
플로리얼,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55734.jpg,1997,2025,한화,0.265,41,182,166,21,44,13,1,3,68,21,8,3,15,0,47,2,0.41,0.324,2
하재훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69813.jpg,1990,2025,SSG,0.167,8,25,24,2,4,0,0,1,7,3,0,0,1,0,12,0,0.292,0.2,1
하주석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62700.jpg,1994,2025,한화,0.278,7,19,18,2,5,2,0,0,7,1,0,0,1,0,7,0,0.389,0.316,0
한두솔,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68092.jpg,1997,2025,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
한석현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64101.jpg,1994,2025,NC,0.277,16,62,47,11,13,4,0,1,20,12,1,0,6,4,7,0,0.426,0.397,0
한승택,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63722.jpg,1994,2025,KIA,0.222,12,20,18,3,4,1,0,0,5,0,0,0,1,1,6,1,0.278,0.3,0
한유섬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62895.jpg,1989,2025,SSG,0.254,39,150,134,17,34,11,0,1,48,13,0,0,15,0,37,0,0.358,0.329,1
한재환,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50903.jpg,2001,2025,NC,0.2,14,28,25,2,5,0,0,0,5,4,0,0,2,1,12,0,0.2,0.286,0
한준수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68646.jpg,1999,2025,KIA,0.18,26,72,61,9,11,3,0,2,20,7,0,0,9,0,13,0,0.328,0.278,2
한태양,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52568.jpg,2003,2025,롯데,0.4,25,12,10,8,4,1,0,0,5,1,2,0,2,0,2,0,0.5,0.5,1
